starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:29 2021,1639340129,0,444,444,438
Sun Dec 12 15:15:24 2021,1639340124,10,434,444,434
Sun Dec 12 15:15:32 2021,1639340132,0,444,444,444
Sun Dec 12 15:15:25 2021,1639340125,0,444,444,444
Sun Dec 12 15:15:27 2021,1639340127,0,444,444,444
Sun Dec 12 15:15:24 2021,1639340124,10,439,448,439
Sun Dec 12 15:15:38 2021,1639340138,0,450,450,450
Sun Dec 12 15:15:35 2021,1639340135,0,450,450,450
Sun Dec 12 15:15:27 2021,1639340127,0,451,451,451
Sun Dec 12 15:15:27 2021,1639340127,0,452,452,452
Sun Dec 12 15:15:36 2021,1639340136,0,453,453,453
Sun Dec 12 15:15:29 2021,1639340129,0,453,454,453
Sun Dec 12 15:15:29 2021,1639340129,0,454,454,453
Sun Dec 12 15:15:36 2021,1639340136,0,454,454,454
Sun Dec 12 15:15:25 2021,1639340125,0,455,455,455
Sun Dec 12 15:15:29 2021,1639340129,0,458,458,458
Sun Dec 12 15:15:36 2021,1639340136,0,458,458,458
Sun Dec 12 15:15:29 2021,1639340129,0,463,464,463
Sun Dec 12 15:15:41 2021,1639340141,0,466,466,466
Sun Dec 12 15:15:34 2021,1639340134,0,467,467,467
Sun Dec 12 15:15:37 2021,1639340137,0,468,468,463
Sun Dec 12 15:15:30 2021,1639340130,0,470,470,470
Sun Dec 12 15:15:34 2021,1639340134,0,470,470,470
Sun Dec 12 15:15:41 2021,1639340141,0,472,472,472
Sun Dec 12 15:15:26 2021,1639340126,0,473,473,473
Sun Dec 12 15:15:35 2021,1639340135,0,473,473,473
Sun Dec 12 15:15:32 2021,1639340132,0,475,475,475
Sun Dec 12 15:15:26 2021,1639340126,0,476,476,476
Sun Dec 12 15:15:39 2021,1639340139,0,477,477,477
Sun Dec 12 15:15:30 2021,1639340130,0,478,478,478
Sun Dec 12 15:15:36 2021,1639340136,0,480,480,480
Sun Dec 12 15:15:30 2021,1639340130,0,483,483,483
Sun Dec 12 15:15:27 2021,1639340127,0,484,484,484
Sun Dec 12 15:15:37 2021,1639340137,0,484,485,472
Sun Dec 12 15:15:41 2021,1639340141,0,485,485,485
Sun Dec 12 15:15:35 2021,1639340135,0,486,486,486
Sun Dec 12 15:15:30 2021,1639340130,0,487,487,487
Sun Dec 12 15:15:28 2021,1639340128,0,487,487,487
Sun Dec 12 15:15:30 2021,1639340130,0,488,488,488
Sun Dec 12 15:15:35 2021,1639340135,0,488,488,488
Sun Dec 12 15:15:37 2021,1639340137,0,489,489,489
Sun Dec 12 15:15:28 2021,1639340128,0,489,489,488
Sun Dec 12 15:15:36 2021,1639340136,0,490,490,490
Sun Dec 12 15:15:37 2021,1639340137,0,491,491,491
Sun Dec 12 15:15:38 2021,1639340138,0,491,491,491
Sun Dec 12 15:15:36 2021,1639340136,0,491,491,491
Sun Dec 12 15:15:41 2021,1639340141,0,492,492,492
